Reference, Value, Footprint, Datasheet
"J1","DB15_FEMALE_HighDensity","PK_Footprints:VGA_HD15",""
"L1","FR_Bead","Inductors_SMD:L_0805_HandSoldering",""
"L2","FR_Bead","Inductors_SMD:L_0805_HandSoldering",""
"L3","FR_Bead","Inductors_SMD:L_0805_HandSoldering",""
"C4","47nF","Capacitors_SMD:C_0603_HandSoldering",""
"C3","47nF","Capacitors_SMD:C_0603_HandSoldering",""
"C5","47nF","Capacitors_SMD:C_0603_HandSoldering",""
"R3","75","Resistors_SMD:R_0805_HandSoldering",""
"R4","75","Resistors_SMD:R_0805_HandSoldering",""
"R5","75","Resistors_SMD:R_0805_HandSoldering",""
"C6",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C7",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C1",".0082uF","Capacitors_SMD:C_0603_HandSoldering",""
"C2",".082uF","Capacitors_SMD:C_0603_HandSoldering",""
"R2","2.7k","Resistors_SMD:R_0805_HandSoldering",""
"U2","ATMEGA328-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm",""
"J2","CONN_02X03","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering",""
"U4","IS61LV5128AL","PK_Footprints:TSOP_II_44_0.8mm",""
"J3","CONN_01X10","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm",""
"R6","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"J4","CONN_02X12","Pin_Headers:Pin_Header_Straight_2x12_Pitch2.54mm",""
"C8",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C9",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"J5","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"C11",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C12",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C13",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C14",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C15",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C16",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C17",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C18",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C10",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C20",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C21",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C22",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C23",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C24",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C25",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C26",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C27",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C19",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C30",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C31",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"Y1","Crystal 7.3728 MHz","Crystals:Crystal_SMD_HC49-SD",""
"C28","22pF","Capacitors_SMD:C_0603_HandSoldering",""
"C29","22pF","Capacitors_SMD:C_0603_HandSoldering",""
"C32",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"SW1","DPDT","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"C33","4.7uF","Capacitors_SMD:C_0603_HandSoldering",""
"C34","4.7uF","Capacitors_SMD:C_0603_HandSoldering",""
"J6","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"J7","CONN_02X14","Socket_Strips:Socket_Strip_Straight_2x14_Pitch2.54mm",""
"C37",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C39",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C41",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C43",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C45",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C47",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C35",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C38",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C40",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C42",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C44",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C46",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C48",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"C36",".1uF","Capacitors_SMD:C_0603_HandSoldering",""
"SW2","SW_DIP_x03","Buttons_Switches_THT:SW_DIP_x3_W7.62mm_Slide",""
"R7","10k","Resistors_SMD:R_0805_HandSoldering",""
"R8","10k","Resistors_SMD:R_0805_HandSoldering",""
"R9","10k","Resistors_SMD:R_0805_HandSoldering",""
"J8","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"J9","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"J10","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"J11","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"U3","LCMXO1200C-3TN144C","PK_Footprints:TQFP-144_20x20mm_Pitch0.5mm",""
"R10","20k","Resistors_SMD:R_0805_HandSoldering",""
"U1","MST9883","Housings_QFP:TQFP-80_12x12mm_Pitch0.5mm",""
